"Fecha","TipoCambio"
Ene92,0.987954545454545
Feb92,0.9715
Mar92,0.955
Abr92,1.0215
May92,1.131
Jun92,1.17833333333333
Jul92,1.23190476190476
Ago92,1.28325
Sep92,1.37022727272727
Oct92,1.54928571428571
Nov92,1.6155
Dic92,1.62600011642799
Ene93,1.68975
Feb93,1.75225
Mar93,1.83326086956522
Abr93,1.9055
May93,1.96
Jun93,1.99863636363636
Jul93,2.04236842105263
Ago93,2.07023809523809
Sep93,2.09045454545454
Oct93,2.13475
Nov93,2.16380952380952
Dic93,2.15613636363636
Ene94,2.17
Feb94,2.17175
Mar94,2.16840909090909
Abr94,2.17975
May94,2.18363636363636
Jun94,2.18880952380952
Jul94,2.195
Ago94,2.22840909090909
Sep94,2.25431818181818
Oct94,2.23214285714286
Nov94,2.1902380952381
Dic94,2.13452380952381
Ene95,2.18454545454545
Feb95,2.20825
Mar95,2.25086956521739
Abr95,2.25555555555555
May95,2.24863636363636
Jun95,2.24166666666667
Jul95,2.22925
Ago95,2.23840909090909
Sep95,2.24585714285714
Oct95,2.25579545454546
Nov95,2.31090476190476
Dic95,2.32231578947368
Ene96,2.34715909090909
Feb96,2.35359523809524
Mar96,2.35528571428571
Abr96,2.363875
May96,2.40913636363636
Jun96,2.43935
Jul96,2.44436363636364
Ago96,2.46535714285714
Sep96,2.49040476190476
Oct96,2.55370454545455
Nov96,2.5832
Dic96,2.58338095238095
Ene97,2.62525
Feb97,2.638125
Mar97,2.63315789473684
Abr97,2.66086363636364
May97,2.66366666666667
Jun97,2.65564285714286
Jul97,2.65161904761905
Ago97,2.65367380952381
Sep97,2.64406818181818
Oct97,2.66259090909091
Nov97,2.7197
Dic97,2.71640476190476
Ene98,2.7442619047619
Feb98,2.798225
Mar98,2.80565909090909
Abr98,2.81865
May98,2.842775
Jun98,2.90602380952381
Jul98,2.9187619047619
Ago98,2.96033333333333
Sep98,3.04111363636364
Oct98,3.048675
Nov98,3.09135714285714
Dic98,3.13407142857143
Ene99,3.2473
Feb99,3.394475
Mar99,3.37821739130435
Abr99,3.34795
May99,3.33097619047619
Jun99,3.3377380952381
Jul99,3.32255
Ago99,3.36140476190476
Sep99,3.41813636363636
Oct99,3.472375
Nov99,3.48169047619048
Dic99,3.48384090909091
Ene00,3.49945238095238
Feb00,3.45595238095238
Mar00,3.44286956521739
Abr00,3.47888888888889
May00,3.50331818181818
Jun00,3.48702380952381
Jul00,3.480325
Ago00,3.47754545454545
Sep00,3.48492857142857
Oct00,3.50034090909091
Nov00,3.52847619047619
Dic00,3.51957894736842
Ene01,3.52268181818182
Feb01,3.52845
Mar01,3.51979545454545
Abr01,3.55873684210526
May01,3.60004545454545
Jun01,3.5307575
Jul01,3.50330952380952
Ago01,3.49156818181818
Sep01,3.490025
Oct01,3.46006818181818
Nov01,3.439575
Dic01,3.43536
Ene02,3.45975
Feb02,3.4766
Mar02,3.45623684210526
Abr02,3.43881818181818
May02,3.45140909090909
Jun02,3.48066578947368
Jul02,3.53297619047619
Ago02,3.57011904761905
Sep02,3.61902380952381
Oct02,3.61499523809524
Nov02,3.583275
Dic02,3.5142380952381
Ene03,3.49395454545455
Feb03,3.48395
Mar03,3.47915952380952
Abr03,3.464625
May03,3.48114761904762
Jun03,3.4787619047619
Jul03,3.47140476190476
Ago03,3.4802619047619
Sep03,3.48086363636364
Oct03,3.47820454545454
Nov03,3.47775
Dic03,3.47128571428571
Ene04,3.46716666666667
Feb04,3.4835
Mar04,3.4650847826087
Abr04,3.46965
May04,3.4872380952381
Jun04,3.47716666666667
Jul04,3.4413
Ago04,3.39545238095238
Sep04,3.35759090909091
Oct04,3.321025
Nov04,3.31016666666667
Dic04,3.28106818181818
Ene05,3.26821428571429
Feb05,3.258825
Mar05,3.25930952380952
Abr05,3.25795
May05,3.25488095238095
Jun05,3.2527619047619
Jul05,3.25205263157895
Ago05,3.25734090909091
Sep05,3.30752272727273
Oct05,3.38078571428571
Nov05,3.37607142857143
Dic05,3.42428571428571
Ene06,3.39329545454545
Feb06,3.288725
Mar06,3.33932608695652
Abr06,3.33152777777778
May06,3.27904090909091
Jun06,3.26406428571429
Jul06,3.2431
Ago06,3.23438636363636
Sep06,3.24773809523809
Oct06,3.23745454545455
Nov06,3.22209523809524
Dic06,3.20531578947368
Ene07,3.1925
Feb07,3.1903
Mar07,3.18561363636364
Abr07,3.17828947368421
May07,3.16752272727273
Jun07,3.1702
Jul07,3.16090909090909
Ago07,3.15818181818182
Sep07,3.135975
Oct07,3.01986363636364
Nov07,3.001
Dic07,2.980775
Ene08,2.95031818181818
Feb08,2.9055
Mar08,2.81092105263158
Abr08,2.74786363636364
May08,2.80457894736842
Jun08,2.89161904761905
Jul08,2.84842857142857
Ago08,2.89230952380952
Sep08,2.96584090909091
Oct08,3.07515909090909
Nov08,3.09188888888889
Dic08,3.113775
Ene09,3.151125
Feb09,3.236125
Mar09,3.17477272727273
Abr09,3.085025
May09,2.99405
Jun09,2.99047619047619
Jul09,3.0125
Ago09,2.95054761904762
Sep09,2.90965909090909
Oct09,2.871775
Nov09,2.8845
Dic09,2.87747368421053
Ene10,2.85645
Feb10,2.853975
Mar10,2.83928260869565
Abr10,2.83985
May10,2.8455
Jun10,2.83805
Jul10,2.82281578947368
Ago10,2.80202380952381
Sep10,2.79063636363636
Oct10,2.791475
Nov10,2.80559523809524
Dic10,2.815675
Ene11,2.78704761904762
Feb11,2.770525
Mar11,2.77939130434783
Abr11,2.81563157894737
May11,2.77495238095238
Jun11,2.76407142857143
Jul11,2.74131578947368
Ago11,2.73938095238095
Sep11,2.74384090909091
Oct11,2.731825
Nov11,2.70495238095238
Dic11,2.69626315789474
Ene12,2.69265909090909
Feb12,2.68352380952381
Mar12,2.671
Abr12,2.65702777777778
May12,2.66927272727273
Jun12,2.670575
Jul12,2.63504761904762
Ago12,2.61597619047619
Sep12,2.6028
Oct12,2.5876
Nov12,2.598625
Dic12,2.56688888888889
Ene13,2.55190909090909
Feb13,2.57805263157895
Mar13,2.59394736842105
Abr13,2.5975
May13,2.64438636363636
Jun13,2.7475
Jul13,2.77671428571429
Ago13,2.8017380952381
Sep13,2.77857142857143
Oct13,2.76911904761905
Nov13,2.798125
Dic13,2.78525
Ene14,2.80893181818182
Feb14,2.81265
Mar14,2.80638095238095
Abr14,2.794375
May14,2.78697619047619
Jun14,2.79423809523809
Jul14,2.78609523809524
Ago14,2.81447619047619
Sep14,2.86395454545455
Oct14,2.90604545454545
Nov14,2.925075
Dic14,2.9615
Ene15,3.005525
Feb15,3.078525
Mar15,3.09168181818182
Abr15,3.1199525
